,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
0,11004,7.110000134,2.569999933,0.460000008,4.070000172,0.0,33,12,205,804,1819
1,17609,11.55000019,6.920000076,0.730000019,3.910000086,0.0,89,17,274,588,2154
2,12736,8.529999733,4.659999847,0.159999996,3.710000038,0.0,56,5,268,605,1944
3,13231,8.930000305,3.190000057,0.790000021,4.949999809,0.0,39,20,224,1080,1932
4,12041,7.849999905,2.160000086,1.090000033,4.610000134,0.0,28,28,243,763,1886
5,10970,7.159999847,2.359999895,0.50999999,4.289999962,0.0,30,13,223,1174,1820
6,12256,7.860000134,2.289999962,0.49000001,5.039999962,0.0,33,12,239,820,1889
7,12262,7.869999886,3.319999933,0.829999983,3.640000105,0.0,47,21,200,866,1868
8,11248,7.25,3.0,0.449999988,3.74000001,0.0,40,11,244,636,1843
9,10016,6.369999886,0.910000026,1.279999971,4.179999828,0.0,15,30,314,655,1850
10,14557,9.800000191,3.390000105,0.699999988,5.690000057,0.0,43,18,285,757,2030
11,14844,9.729999542,2.940000057,0.75999999,6.039999962,0.0,36,18,341,736,2083
12,11974,7.670000076,2.039999962,0.479999989,5.150000095,0.0,27,12,228,1173,1861
13,10198,6.440000057,1.200000048,0.790000021,4.449999809,0.0,17,20,195,1208,1755
14,12521,7.940000057,3.309999943,0.899999976,3.74000001,0.0,46,22,212,1160,1895
15,12432,8.100000381,2.589999914,0.589999974,4.920000076,0.0,32,15,248,738,1883
16,10057,6.980000019,4.0,0.49000001,2.480000019,0.0,44,13,168,737,1755
17,10990,7.260000229,2.039999962,0.569999993,4.650000095,0.0,26,14,216,855,1811
25,4506,2.930000067,0.50999999,0.270000011,2.150000095,0.01,7,4,144,1285,1498
35,3910,2.539999962,0.469999999,0.25,1.809999943,0.01,7,7,186,1240,1555
39,20237,14.71000004,2.569999933,6.400000095,5.730000019,0.01,34,141,347,918,4029
40,12912,9.409999847,4.829999924,0.769999981,3.789999962,0.029999999,59,16,283,1082,3436
41,2819,2.049999952,0.310000002,0.170000002,1.559999943,0.01,4,4,87,1345,2444
42,9921,7.210000038,0.340000004,1.519999981,5.360000134,0.0,5,35,219,1181,3098
43,8046,5.849999905,1.289999962,2.119999886,2.450000048,0.0,18,41,137,1244,2925
44,11166,8.119999886,0.209999993,2.410000086,5.5,0.0,3,58,230,1149,3202
45,7842,5.699999809,0.479999989,2.410000086,2.809999943,0.0,7,43,161,1229,2928
46,13840,10.06000042,1.309999943,3.720000029,5.03000021,0.0,18,81,192,1149,3290
48,6847,4.53000021,0.610000014,0.370000005,3.549999952,0.0,9,9,251,1171,1969
72,13603,9.600000381,5.460000038,0.629999995,3.50999999,0.0,72,16,213,1139,2645
74,11144,7.820000172,1.789999962,0.889999986,5.139999866,0.0,25,22,279,1114,2395
75,15313,11.0,5.019999981,1.289999962,4.690000057,0.0,62,19,233,1126,2581
76,10805,7.590000153,0.720000029,0.980000019,5.889999866,0.0,36,37,298,1069,2735
77,15392,10.93000031,3.430000067,1.75,5.75,0.0,47,42,258,1093,2733
78,18247,13.82999992,7.110000134,2.210000038,4.510000229,0.0,72,62,252,1054,3021
79,13023,9.260000229,3.230000019,0.560000002,5.46999979,0.0,40,12,296,1092,2577
80,16267,12.59000015,5.75,0.469999999,6.369999886,0.0,44,16,302,1078,2811
81,10005,7.019999981,0.079999998,1.049999952,5.900000095,0.0,1,23,339,1077,2458
82,10106,7.090000153,1.210000038,0.560000002,5.329999924,0.0,41,16,272,1111,2568
83,6717,4.71999979,3.230000019,0.219999999,1.269999981,0.0,41,5,67,551,1140
104,4863,3.279999971,0.059999999,0.419999987,2.799999952,0.0,1,11,208,1220,1772
106,11230,7.670000076,0.889999986,0.119999997,6.659999847,0.0,10,2,390,1038,2206
108,10272,6.789999962,0.159999996,3.119999886,3.5,0.0,2,58,208,700,2041
109,10533,7.099999905,1.769999981,2.059999943,3.269999981,0.0,21,35,255,615,2187
112,15459,10.22000027,3.589999914,0.810000002,5.820000172,0.0,51,16,327,583,2438
114,10254,6.800000191,1.419999957,1.230000019,4.159999847,0.0,21,25,231,638,2099
115,10114,6.820000172,1.639999986,0.479999989,4.679999828,0.0,18,9,269,696,2096
116,11107,7.340000153,0.899999976,2.75999999,3.680000067,0.0,14,46,196,759,2058
117,10320,6.849999905,0.680000007,1.230000019,4.940000057,0.0,15,32,315,1002,2338
